,task,mse,mae
5,task_6,148144.30601008132,307.15310814824943
6,task_7,179384.12272647372,338.153699760816
9,task_10,249620.2114524177,399.2675382551293
4,task_5,255409.82119892281,404.0895946480926
10,task_11,290267.8478702154,430.05276619013523
7,task_8,290593.8681270434,430.2931289843256
1,task_2,340067.94362952857,465.860206701812
11,task_12,565033.2469196531,600.3726219349325
0,task_1,730143.8106171645,684.3281971426749
8,task_9,730632.1698538554,684.5466046009947
3,task_4,790326.6113110486,709.8026641286825
2,task_3,791726.6673641641,710.61530964102
12,task_13,2830852.2930962867,1500.638947470192
13,task_14,2910066.324041293,1526.670997381108
