,task,mse,mae
5,task_6,93165983562.48653,243611.32848267714
3,task_4,96580565267.90721,248107.02999563955
6,task_7,97240522908.67827,248678.48130222823
9,task_10,99327414910.11461,251281.26971065646
4,task_5,104785650242.5964,258427.1038664814
10,task_11,161098489978.64355,319128.2828340558
7,task_8,161098566044.10458,319128.195183975
1,task_2,161142657442.53467,319178.16430479236
11,task_12,161221550224.65057,319269.2367263441
2,task_3,191283681418.23804,348795.17545206804
8,task_9,286986085063.63074,424471.9493145707
0,task_1,286986856454.4287,424472.5177341043
12,task_13,783325166877.5,752183.5473675965
13,task_14,783325310046.4615,752183.6264977051
